,layer,strip,pedestal_end0,std_dev_end0,pedestal_per_time_sample_end0,pedestal_per_time_sample_std_dev_end0,pedestal_end1,std_dev_end1,pedestal_per_time_sample_end1,pedestal_per_time_sample_std_dev_end1
0,1,0,760,9.674627406843134,95,1.1586997898499265,840,11.046367796459077,105,1.6744404892509357
1,1,1,760,14.564193596544063,95,1.0255594177726524,760,18.8560474564577,95,1.358078361893979
2,1,2,728,10.38766981347635,91,1.7305824497860869,824,10.88832225539713,103,1.697010013840832
3,1,3,728,11.93845109832898,91,1.7569373397601482,824,13.267025268627002,103,1.9967967987687243
4,1,4,824,12.376214624731327,103,1.3722686071037824,760,11.554757447313044,95,0.950733548829159
5,1,5,792,11.602905751342352,99,1.946579112357667,744,10.948169319774031,93,1.5888746186053988
6,1,6,824,11.566822974013151,103,1.8919524170797917,840,12.186270440075385,105,1.7853284715697584
7,1,7,696,20.57473456743701,87,2.1075325997754324,840,12.099228018552123,105,2.053782668705462
8,2,0,760,10.364760759566824,95,1.1612468224742194,760,10.188697228564305,95,1.1298173175697988
9,2,1,760,11.914896089593745,95,1.2769135201476398,824,10.89246845458494,103,1.521012617520512
10,2,2,760,12.38546712384476,95,1.2764012739679318,840,12.897305826932657,105,1.7091737000949645
11,2,3,856,13.94853388096267,107,1.8619810197976083,856,13.278626315040531,107,1.4849940899234917
12,2,4,744,11.282990513782622,93,1.653788616250487,760,10.42369638190956,95,1.0174445895717483
13,2,5,760,11.508397908175002,95,1.1720433408055948,760,10.481787942739258,95,1.0476084674114947
14,2,6,856,12.759742145554307,107,1.474219498993934,824,10.630347642986369,103,1.7395376934368418
15,2,7,856,14.056468493651288,107,1.8716230657573143,824,12.78660107357395,103,1.4828431419341117
16,3,0,728,15.977147548920833,91,2.30669419425386,760,16.15033941831168,95,1.3820170060898636
17,3,1,728,15.517701297970774,91,2.3038634613454616,728,15.693899500993515,91,1.9899274551716517
18,3,2,760,16.134845074822106,95,1.4043329515162566,856,19.367728066457072,107,2.4981113481486625
19,3,3,808,17.624854935137947,101,2.2732713779197136,760,17.99469143444419,95,1.2692577892570167
20,3,4,744,17.08559017269283,93,1.8342122272839456,792,17.4670508108896,99,2.410155817766888
21,3,5,840,16.85675663042256,105,1.954847210256135,824,16.96131254116624,103,1.421965017846034
22,3,6,792,16.837996466056456,99,2.3342146625011035,840,19.168088316152563,105,2.6193881765605918
23,3,7,792,17.80854018405837,99,2.4377232367723325,760,16.065322022997837,95,1.2239300272492135
24,4,0,840,19.713655796219864,105,2.6633634622728164,760,17.05055903733921,95,1.2192792077943124
25,4,1,824,16.65409595576732,103,1.8090910404648977,808,17.732641958623088,101,2.381426936132758
26,4,2,856,18.227905825803,107,2.1134144778590525,808,16.200471727730083,101,1.8262876846438263
27,4,3,808,18.047362540923807,101,1.5184207615800207,792,18.26902141352199,99,2.3388178598843754
28,4,4,808,18.7036658090916,101,1.9247472278228503,760,15.81588650115286,95,1.0778729797473054
29,4,5,760,17.981151870476946,95,1.2896413988688264,760,17.687530331706714,95,1.6373917069884365
30,4,6,760,16.62276306055092,95,1.3602995208511586,760,15.502025991108573,95,1.3553927071980687
31,4,7,824,17.012899049655516,103,1.8723216060265333,744,15.34439178496661,93,1.7287927309762474
32,5,0,824,11.100331897107004,103,2.099054561424729,760,11.796395155367057,95,1.3974537287024669
33,5,1,696,11.9252605571091,87,2.100073051434827,856,13.605744202556334,107,2.365067011526821
34,5,2,760,12.697216943061088,95,1.2201755134234966,808,14.190680186152518,101,2.132965099897611
35,5,3,760,11.080497263080009,95,1.2525274743043922,808,14.0484675224261,101,3.143164810454597
36,5,4,840,12.04371305621094,105,2.060949068454152,744,10.634176326493618,93,1.87236814359788
37,5,5,840,12.802000036273784,105,1.9814888187183548,744,11.74805775489502,93,1.8515033054010457
38,5,6,824,12.90199929456993,103,2.048885417946132,760,11.3666629261888,95,1.263689328372239
39,5,7,728,10.400475680091738,91,2.3164372937841624,712,10.89890048322731,89,2.0417311194937184
40,6,0,872,12.501946890538388,109,2.031260440715505,808,12.136636716264867,101,1.977068330446536
41,6,1,728,12.003497846109628,91,2.177816267631974,760,11.646851139565396,95,1.3337300569740478
42,6,2,824,11.849240693981637,103,1.859808888696155,808,12.174341355646002,101,1.9919648035681656
43,6,3,760,13.836636666531575,95,1.3121344599622775,760,12.716930629970582,95,1.1970892138885871
44,6,4,760,12.44219665435346,95,1.2476530952442972,840,14.27294952921387,105,2.04536148975774
45,6,5,824,12.17263615121646,103,2.054731466549021,728,11.26482736738756,91,1.555062282266739
46,6,6,824,12.53936921949932,103,1.969773632011008,872,10.916595588282243,109,1.5881801047707893
47,6,7,760,10.687414401818272,95,1.2012236218602257,760,9.76431013100004,95,1.278803902639027
48,7,0,792,11.795029033528031,99,1.982013751167517,792,13.503403414337878,99,2.17137490706798
49,7,1,744,13.85102900694018,93,1.890357808701176,728,14.832384401883488,91,2.0166874485936708
50,7,2,728,15.85923784793557,91,1.8793595951724675,760,15.665089031404332,95,1.4206154266541746
51,7,3,808,14.318139551935406,101,1.6927676439486268,728,16.099474395866974,91,2.1861278390652874
52,7,4,808,15.50099022431053,101,2.006252882955845,760,15.658234618564665,95,1.3120390725499234
53,7,5,824,13.946074859579603,103,1.7607159752685728,824,14.310587398221358,103,2.056911348909585
54,7,6,1320,25.11726741574202,165,1.9599533838338812,792,12.80969737882175,99,2.067790765630826
55,7,7,728,11.112517194610056,91,1.5104610044588096,824,11.22823891607432,103,1.4645522033270204
56,8,0,824,12.74221608054962,103,2.0596176445926178,808,12.985422193574992,101,2.1618596195920725
57,8,1,792,15.030429831477267,99,2.0506237432776606,840,14.171242794993171,105,1.7317636178066451
58,8,2,760,15.33715514340741,95,1.2040390797656697,824,15.045413179273384,103,1.4351127091628413
59,8,3,760,15.036732993986858,95,1.2837555818208346,744,16.491865540677885,93,1.7677597047629865
60,8,4,744,14.546622794874253,93,1.6436499983398791,840,16.361212806351812,105,1.826613618352993
61,8,5,760,13.640898802212574,95,1.2346571101194397,840,14.977896806730554,105,1.7913593091309994
62,8,6,824,12.810781489387953,103,1.4742880799663387,760,12.71039509346279,95,1.3438407532475347
63,8,7,824,11.870340349692238,103,1.828624182750268,760,10.457722307266025,95,1.1032370146939348
64,9,0,760,12.15219823150587,95,1.2259980670017048,760,14.63675973720354,95,1.411695984351367
65,9,1,760,16.303367353699844,95,1.3758593736886502,696,17.657819039384954,87,2.249230224907962
66,9,2,808,17.655029232029328,101,2.241802528988964,808,15.733923234488143,101,2.2291740437485537
67,9,3,760,17.66437517342978,95,1.3605014559330355,808,14.543366971506146,101,2.756437123298325
68,9,4,808,17.579401005377168,101,3.329671817686754,856,12.110811913600172,107,1.941960024741503
69,9,5,872,12.37702785189224,109,1.9837500628248248,856,13.51106022635568,107,2.2835692706234214
70,9,6,808,15.183716345426006,101,2.1884886371555674,760,14.6940684098855,95,1.3639790039228563
71,9,7,824,14.394577069531596,103,2.218241782572981,760,16.684801036106837,95,1.4180044426622374
72,10,0,760,15.606452672848162,95,1.3131900573984894,728,14.4983473380165,91,2.4453982919129715
73,10,1,728,14.383898545643142,91,1.5936150808844605,856,15.11023948995598,107,1.69379834036384
74,10,2,760,16.218258926527355,95,1.3902059138312255,728,14.176564238729492,91,1.5017926553592609
75,10,3,840,17.34071231130749,105,2.250371379121893,760,20.00521568895832,95,1.4484829601978226
76,10,4,824,17.2506789640376,103,1.628576705375682,760,16.322468622793686,95,1.3593561205769324
77,10,5,760,15.46428358952161,95,1.4251901232664153,760,13.378796133496271,95,1.269220495219922
78,10,6,760,19.760255015721537,95,1.2577505757260503,760,18.22214627238772,95,1.3368684512206863
79,10,7,696,17.80104727751237,87,1.6615808557563227,824,16.988899212983416,103,2.3152148891388284
80,10,8,760,12.252709912903502,95,1.2554637778054325,744,15.756795643649474,93,2.349225308153079
81,10,9,760,10.839732105664517,95,1.5866628634971622,760,11.041846998628612,95,1.643132138081422
82,10,10,744,10.683436247449096,93,1.4706493124342332,728,11.314390020822277,91,1.6361532144695496
83,10,11,760,10.604666067455364,95,1.2994069679984277,760,10.122468684825217,95,1.0495816255821824
84,11,0,840,11.951656337678552,105,1.8432063824520095,760,11.03472033727025,95,1.0450620405076487
85,11,1,760,11.052872443150015,95,1.2858140546601198,840,10.642206826402562,105,1.7618455456806408
86,11,2,808,10.693888621769464,101,1.8387793063516231,760,11.241214347693097,95,1.3159284789410368
87,11,3,840,15.037578121804309,105,1.6835960769695717,808,14.894453819418128,101,1.6589970110100416
88,11,4,728,15.931515956949486,91,1.634039126362829,824,15.216582290534994,103,1.3566364988764283
89,11,5,728,16.236436030476643,91,1.38557055302001,856,17.571340429245662,107,1.8709401297128805
90,11,6,760,12.501983677756405,95,1.6010571548629495,840,13.446291456301465,105,2.0300614206329106
