layer,strip,end,pedestal,mean,std_dev,pedestal_per_time_sample,pedestal_per_time_sample_mean,pedestal_per_time_sample_std_dev
1,0,0,760,-1.0273742604460079,9.674627406843134,95,94.87418645605686,1.1586997898499265
1,0,1,840,-7.573053056254267,11.046367796459077,105,104.25629458866113,1.6744404892509355
1,1,0,760,-2.8026813028612563,14.564193596544065,95,94.61046999208608,1.0255594177726524
1,1,1,760,13.318374335405965,18.8560474564577,95,95.58351293927026,1.3580783618939787
1,2,0,728,8.016914935919004,10.38766981347635,91,92.0694577614537,1.7305824497860867
1,2,1,824,3.8387639461348466,10.88832225539713,103,103.57199654007066,1.697010013840832
1,3,0,728,7.187037441459805,11.93845109832898,91,91.92546562719721,1.7569373397601482
1,3,1,824,-3.6064790099490414,13.267025268627002,103,102.57285600691655,1.9967967987687245
1,4,0,824,5.9473630017092605,12.376214624731329,103,103.68985696604838,1.3722686071037824
1,4,1,760,0.16525319061342117,11.554757447313044,95,95.02098205544766,0.950733548829159
1,5,0,792,2.0031683093775685,11.602905751342352,99,99.31921786342751,1.946579112357667
1,5,1,744,-0.9736799176830798,10.948169319774031,93,92.99214072216746,1.5888746186053988
1,6,0,824,-5.113461373679508,11.566822974013153,103,102.44083324194554,1.8919524170797914
1,6,1,840,-0.7303652744454782,12.186270440075383,105,105.0691874838799,1.7853284715697584
1,7,0,696,13.932308614232209,20.574734567437012,87,88.1124209472964,2.1075325997754324
1,7,1,840,4.659423763752726,12.099228018552123,105,105.67991076163261,2.053782668705462
2,0,0,760,3.055436056062137,10.364760759566824,95,95.22100159154631,1.1612468224742194
2,0,1,760,2.160188697959285,10.188697228564303,95,95.14869723602779,1.1298173175697988
2,1,0,760,13.243007007857294,11.914896089593743,95,95.86469443593039,1.2769135201476398
2,1,1,824,-5.2729087048832275,10.892468454584941,103,102.44035528770206,1.521012617520512
2,2,0,760,9.167106970708195,12.38546712384476,95,95.5732857859618,1.2764012739679318
2,2,1,840,-2.518264293711153,12.897305826932657,105,104.81222298803654,1.7091737000949643
2,3,0,856,-3.5248639474753594,13.94853388096267,107,106.78872545800775,1.8619810197976083
2,3,1,856,3.0164556255926813,13.278626315040533,107,107.4872182245106,1.4849940899234917
2,4,0,744,3.0263255200214605,11.282990513782622,93,93.4272431831216,1.6537886162504867
2,4,1,760,-0.6674787021932209,10.42369638190956,95,94.90879520193492,1.0174445895717483
2,5,0,760,3.069939744421933,11.508397908175002,95,95.22376887309025,1.1720433408055948
2,5,1,760,-2.481938216243149,10.481787942739258,95,94.7659263732607,1.0476084674114947
2,6,0,856,-0.8740976645435244,12.759742145554307,107,107.17356173448505,1.4742194989939341
2,6,1,824,-8.658491279513324,10.630347642986367,103,101.9772500187034,1.7395376934368418
2,7,0,856,-3.5085048375033177,14.056468493651288,107,106.80775185083695,1.8716230657573143
2,7,1,824,5.601415008987056,12.78660107357395,103,103.5933472140024,1.4828431419341117
3,0,0,728,-4.897509402526125,15.977147548920833,91,90.46114959715834,2.30669419425386
3,0,1,760,7.4952439868436365,16.15033941831168,95,95.57645496523993,1.3820170060898636
3,1,0,728,-4.4476709529081155,15.517701297970774,91,90.50137719630418,2.3038634613454616
3,1,1,728,2.6527147320639037,15.693899500993515,91,91.39805083815133,1.9899274551716515
3,2,0,760,17.497142074298456,16.134845074822106,95,96.11506863583298,1.4043329515162566
3,2,1,856,3.332549341980073,19.367728066457072,107,107.59790730812794,2.4981113481486625
3,3,0,808,2.931178352979301,17.624854935137947,101,101.41613840615369,2.2732713779197136
3,3,1,760,-4.93027438209347,17.99469143444419,95,94.56980413204131,1.2692577892570167
3,4,0,744,-9.463713923452174,17.08559017269283,93,92.091930540383,1.8342122272839458
3,4,1,792,-8.598178848275566,17.4670508108896,99,98.13310154809011,2.4101558177668876
3,5,0,840,-1.4209467951403436,16.85675663042256,105,105.07289865547965,1.954847210256135
3,5,1,824,6.120131804304118,16.96131254116624,103,103.82114592220745,1.4219650178460341
3,6,0,792,-5.42396989335225,16.837996466056456,99,98.52762172176185,2.3342146625011035
3,6,1,840,3.2253494874184527,19.168088316152563,105,105.65355720884727,2.6193881765605913
3,7,0,792,-1.3395700071073204,17.80854018405837,99,99.0208962992047,2.4377232367723325
3,7,1,760,2.1499635795121432,16.065322022997837,95,95.21378620875059,1.2239300272492135
4,0,0,840,4.4602666533817406,19.713655796219864,105,105.78650492519816,2.6633634622728164
4,0,1,760,-0.4960083628376402,17.05055903733921,95,94.97838122975556,1.2192792077943124
4,1,0,824,-5.621928346027602,16.65409595576732,103,102.58948259426055,1.8090910404648977
4,1,1,808,-5.059035610188823,17.732641958623088,101,100.57619018985181,2.381426936132758
4,2,0,856,-8.741966973680288,18.227905825802996,107,106.46930455101364,2.1134144778590525
4,2,1,808,-5.575338076966062,16.200471727730083,101,100.71956684429297,1.8262876846438265
4,3,0,808,-11.606496804270407,18.047362540923807,101,100.34083607303943,1.5184207615800207
4,3,1,792,-11.089186044683427,18.26902141352199,99,97.77208311413985,2.3388178598843754
4,4,0,808,-3.4568839993528555,18.7036658090916,101,100.89517104817907,1.9247472278228503
4,4,1,760,-6.794954189155404,15.81588650115286,95,94.52695340909945,1.0778729797473054
4,5,0,760,3.3401905287864144,17.981151870476946,95,95.2531652492286,1.2896413988688264
4,5,1,760,-13.175153311730567,17.687530331706714,95,93.69917554351727,1.6373917069884363
4,6,0,760,5.546368096217756,16.62276306055092,95,95.41359771527593,1.3602995208511586
4,6,1,760,10.52615658038089,15.502025991108573,95,95.82928981160082,1.3553927071980687
4,7,0,824,-3.307128270656938,17.012899049655516,103,102.93754435539267,1.8723216060265335
4,7,1,744,-1.2316999647817963,15.34439178496661,93,92.99906737057982,1.7287927309762474
5,0,0,824,3.405942463064106,11.100331897107003,103,103.42981483946933,2.099054561424729
5,0,1,760,19.238489563997206,11.796395155367057,95,95.81163775977845,1.3974537287024669
5,1,0,696,8.221370779267803,11.9252605571091,87,87.75786193600175,2.100073051434827
5,1,1,856,1.4337026576870158,13.605744202556334,107,107.2242110446401,2.3650670115268215
5,2,0,760,-14.45730063820559,12.697216943061088,95,94.23209199747028,1.2201755134234966
5,2,1,808,-7.206800402757339,14.190680186152518,101,100.70404438849033,2.132965099897611
5,3,0,760,-5.133364537536985,11.080497263080009,95,94.59178219821537,1.2525274743043922
5,3,1,808,-4.506657305483814,14.048467522426101,101,100.47181570549907,3.143164810454597
5,4,0,840,2.4727387490658987,12.04371305621094,105,105.18436206120164,2.0609490684541516
5,4,1,744,-5.0684098642540505,10.634176326493618,93,92.5023503046014,1.87236814359788
5,5,0,840,-4.859942877769827,12.802000036273785,105,104.47537054741791,1.9814888187183548
5,5,1,744,-7.2043140135778705,11.748057754895019,93,92.27252558116199,1.8515033054010457
5,6,0,824,-2.434020682395195,12.90199929456993,103,102.86156606042739,2.048885417946132
5,6,1,760,1.608103924409605,11.3666629261888,95,95.00791271147524,1.263689328372239
5,7,0,728,-5.525103442392186,10.400475680091738,91,90.39691454298205,2.3164372937841624
5,7,1,712,0.6900693488037636,10.89890048322731,89,89.08038025462565,2.0417311194937184
6,0,0,872,-8.684842294239639,12.501946890538388,109,108.2107437447737,2.031260440715505
6,0,1,808,-10.894762907019933,12.136636716264867,101,100.30731980004394,1.9770683304465362
6,1,0,728,4.512214916064388,12.003497846109628,91,91.61194512343344,2.177816267631974
6,1,1,760,7.952788410538894,11.646851139565396,95,95.344772629808,1.3337300569740478
6,2,0,824,-7.631235379302662,11.849240693981637,103,102.3241290567977,1.859808888696155
6,2,1,808,2.193709851100962,12.174341355646002,101,101.38163334988826,1.9919648035681659
6,3,0,760,9.428594001832948,13.836636666531577,95,95.33921879764927,1.3121344599622775
6,3,1,760,-10.205204983764053,12.716930629970582,95,94.36620514787408,1.1970892138885871
6,4,0,760,9.306975378857373,12.442196654353461,95,95.40292961281656,1.2476530952442972
6,4,1,840,4.843745642681539,14.27294952921387,105,105.34096536045125,2.04536148975774
6,5,0,824,-4.894204576637597,12.17263615121646,103,102.65107296413761,2.054731466549021
6,5,1,728,2.647524195815429,11.264827367387559,91,91.2727928053072,1.555062282266739
6,6,0,824,-8.803294945033551,12.539369219499319,103,102.24523795585262,1.9697736320110077
6,6,1,872,-4.786927134348517,10.916595588282243,109,108.75215462237666,1.5881801047707893
6,7,0,760,-11.682784374962171,10.687414401818273,95,94.35738086660506,1.2012236218602257
6,7,1,760,8.141353556384061,9.764310131000041,95,95.45288542036997,1.278803902639027
7,0,0,792,-2.105381042763941,11.795029033528031,99,98.74193170068548,1.9820137511675175
7,0,1,792,5.894305219706407,13.503403414337878,99,99.62810059035868,2.17137490706798
7,1,0,744,2.5817871532322223,13.85102900694018,93,93.25022002722122,1.8903578087011759
7,1,1,728,-7.414336337724366,14.832384401883488,91,90.02767387593327,2.0166874485936708
7,2,0,728,8.766329195381656,15.85923784793557,91,91.95849728934749,1.8793595951724675
7,2,1,760,15.935106470627888,15.665089031404332,95,95.98937887275711,1.4206154266541746
7,3,0,808,-2.7377162574096565,14.318139551935406,101,100.71311789693173,1.6927676439486268
7,3,1,728,-6.374613576350873,16.099474395866974,91,90.1160494610863,2.1861278390652874
7,4,0,808,5.3269835660010605,15.50099022431053,101,101.55373842071138,2.006252882955845
7,4,1,760,11.272049364565515,15.658234618564663,95,95.74169389581357,1.3120390725499234
7,5,0,824,-1.8780265792827235,13.946074859579605,103,102.77210871720206,1.7607159752685728
7,5,1,824,-7.96922970717074,14.310587398221358,103,101.96647325387684,2.056911348909585
7,6,0,1320,-3.1683125305922664,25.11726741574202,165,164.96220180613253,1.9599533838338814
7,6,1,792,0.6585174073984468,12.80969737882175,99,99.07423989487376,2.067790765630826
7,7,0,728,4.215813755914524,11.112517194610055,91,91.45527636580464,1.5104610044588096
7,7,1,824,8.72861087184812,11.228238916074321,103,103.83107480123681,1.4645522033270204
8,0,0,824,-7.530724041799093,12.742216080549621,103,102.0699858942918,2.0596176445926178
8,0,1,808,3.190321931221289,12.985422193574992,101,101.38189877271238,2.1618596195920725
8,1,0,792,-2.4809901462973203,15.030429831477269,99,98.64941949154984,2.0506237432776606
8,1,1,840,-3.1640962523862153,14.171242794993171,105,104.59409240847963,1.7317636178066451
8,2,0,760,-4.68336313547618,15.33715514340741,95,94.51997005016075,1.2040390797656695
8,2,1,824,7.050603966433404,15.045413179273384,103,103.6102637530304,1.4351127091628413
8,3,0,760,5.176255432345072,15.036732993986858,95,95.27229926448476,1.2837555818208346
8,3,1,744,-4.810281290801072,16.491865540677885,93,92.36138697551185,1.7677597047629863
8,4,0,744,1.7286932227310694,14.546622794874251,93,93.12884821087724,1.6436499983398793
8,4,1,840,-0.5794102394191708,16.361212806351812,105,104.82093326721572,1.826613618352993
8,5,0,760,1.5556782829207079,13.640898802212574,95,95.04949217129423,1.2346571101194395
8,5,1,840,-1.2293893454143705,14.977896806730554,105,104.79982183739865,1.7913593091309994
8,6,0,824,3.982058031527034,12.810781489387951,103,103.40992743780821,1.4742880799663387
8,6,1,760,9.879460342428459,12.71039509346279,95,95.64280338947337,1.3438407532475347
8,7,0,824,-4.537479455970273,11.870340349692238,103,102.57828699750135,1.8286241827502676
8,7,1,760,-7.770110426526178,10.457722307266025,95,94.42876631141878,1.1032370146939348
9,0,0,760,-15.005174818448516,12.15219823150587,95,94.30693586706558,1.2259980670017048
9,0,1,760,-2.2890861699160325,14.636759737203539,95,94.7197820121336,1.411695984351367
9,1,0,760,-4.114121473511325,16.303367353699844,95,94.61018766395222,1.3758593736886502
9,1,1,696,9.430249404946704,17.657819039384954,87,87.5764908560827,2.249230224907962
9,2,0,808,-6.746745662817409,17.655029232029328,101,101.04385469800508,2.2418025289889636
9,2,1,808,-7.372112089968984,15.733923234488145,101,100.90442814534889,2.2291740437485537
9,3,0,760,1.130132828246036,17.66437517342978,95,94.81065698019628,1.3605014559330357
9,3,1,808,3.2430960684203285,14.543366971506146,101,101.38070205658532,2.756437123298325
9,4,0,808,0.2520653524532357,17.579401005377168,101,100.93961534077168,3.329671817686754
9,4,1,856,-3.064034321791987,12.110811913600172,107,106.65071821007267,1.941960024741503
9,5,0,872,-10.051134100109234,12.37702785189224,109,108.12823192777765,1.9837500628248246
9,5,1,856,3.4731282288534198,13.51106022635568,107,107.47888963294653,2.2835692706234214
9,6,0,808,-4.21516842977624,15.183716345426006,101,100.94293927732633,2.1884886371555674
9,6,1,760,8.898056063375991,14.6940684098855,95,95.12808796735223,1.3639790039228565
9,7,0,824,0.009031988291867028,14.394577069531596,103,103.09830130289411,2.218241782572981
9,7,1,760,35.60028196274747,16.684801036106837,95,95.79665410857376,1.4180044426622374
10,0,0,760,-15.500408351679567,15.606452672848162,95,94.50319095414349,1.3131900573984894
10,0,1,728,-8.183934711462777,14.4983473380165,91,90.45679417103378,2.4453982919129715
10,1,0,728,-5.084667787852198,14.383898545643142,91,90.84156619407655,1.5936150808844605
10,1,1,856,-0.640819410424207,15.11023948995598,107,106.99425808331445,1.69379834036384
10,2,0,760,29.968693009118542,16.218258926527355,95,95.97004744248225,1.3902059138312257
10,2,1,728,2.633268985225269,14.176564238729492,91,91.1132724092508,1.5017926553592607
10,3,0,840,-4.33576406282696,17.34071231130749,105,104.60315223497616,2.250371379121893
10,3,1,760,23.48227256291353,20.00521568895832,95,95.41663005749652,1.4484829601978226
10,4,0,824,4.201977986211794,17.2506789640376,103,103.3471534348601,1.6285767053756819
10,4,1,760,17.1807644226146,16.322468622793686,95,95.33224567463036,1.3593561205769324
10,5,0,760,22.427244024930882,15.46428358952161,95,95.57930175343901,1.4251901232664153
10,5,1,760,-9.966481817735682,13.378796133496273,95,94.56911733079357,1.269220495219922
10,6,0,760,-13.241551075055966,19.760255015721537,95,94.44019098159603,1.2577505757260503
10,6,1,760,-3.4981436177867318,18.22214627238772,95,94.72669889699688,1.3368684512206865
10,7,0,696,18.771328422865107,17.80104727751237,87,87.67150119782731,1.6615808557563227
10,7,1,824,-6.40887692423321,16.988899212983416,103,102.67351082517737,2.3152148891388284
10,8,0,760,3.017264558987243,12.252709912903502,95,95.0870605217374,1.2554637778054325
10,8,1,744,-4.455233644291096,15.756795643649474,93,92.27903395293798,2.349225308153079
10,9,0,760,-8.062121835339283,10.839732105664515,95,93.91110255844413,1.5866628634971622
10,9,1,760,-10.11083821662126,11.041846998628612,95,93.65092543500265,1.6431321380814221
10,10,0,744,-2.414076928069482,10.683436247449096,93,92.6288520952617,1.4706493124342332
10,10,1,728,8.412383542892208,11.314390020822275,91,91.94111596190987,1.6361532144695496
